id;il_id;aciklama;created_by;created_date
633;45;Yunusemre;admin;now
634;46;Afşin;admin;now
635;46;Andırın;admin;now
636;46;Elbistan;admin;now
637;46;Göksun;admin;now
638;46;Pazarcık;admin;now
639;46;Türkoğlu;admin;now
640;46;Çağlayancerit;admin;now
641;46;Ekinözü;admin;now
642;46;Nurhak;admin;now
643;46;Dulkadiroğlu;admin;now
644;46;Onikişubat;admin;now
645;47;Derik;admin;now
646;47;Kızıltepe;admin;now
647;47;Mazıdağı;admin;now
648;47;Midyat;admin;now
649;47;Nusaybin;admin;now
650;47;Ömerli;admin;now
651;47;Savur;admin;now
652;47;Dargeçit;admin;now
653;47;Yeşilli;admin;now
654;47;Artuklu;admin;now
655;48;Bodrum;admin;now
656;48;Datça;admin;now
657;48;Fethiye;admin;now
658;48;Köyceğiz;admin;now
659;48;Marmaris;admin;now
660;48;Milas;admin;now
661;48;Ula;admin;now
662;48;Yatağan;admin;now
663;48;Dalaman;admin;now
664;48;Ortaca;admin;now
665;48;Kavaklıdere;admin;now
666;48;Menteşe;admin;now
667;48;Seydikemer;admin;now
668;49;Bulanık;admin;now
669;49;Malazgirt;admin;now
670;49;Muş Merkez;admin;now
671;49;Varto;admin;now
672;49;Hasköy;admin;now
673;49;Korkut;admin;now
674;50;Avanos;admin;now
675;50;Derinkuyu;admin;now
676;50;Gülşehir;admin;now
677;50;Hacıbektaş;admin;now
678;50;Kozaklı;admin;now
679;50;Nevşehir Merkez;admin;now
680;50;Ürgüp;admin;now
681;50;Acıgöl;admin;now
682;51;Bor;admin;now
683;51;Çamardı;admin;now
684;51;Niğde Merkez;admin;now
685;51;Ulukışla;admin;now
686;51;Altunhisar;admin;now
687;51;Çiftlik;admin;now
688;52;Akkuş;admin;now
689;52;Aybastı;admin;now
690;52;Fatsa;admin;now
691;52;Gölköy;admin;now
692;52;Korgan;admin;now
693;52;Kumru;admin;now
694;52;Mesudiye;admin;now
695;52;Perşembe;admin;now
696;52;Ulubey / Ordu;admin;now
697;52;Ünye;admin;now
698;52;Gülyalı;admin;now
699;52;Gürgentepe;admin;now
700;52;Çamaş;admin;now
701;52;Çatalpınar;admin;now
702;52;Çaybaşı;admin;now
703;52;İkizce;admin;now
704;52;Kabadüz;admin;now
705;52;Kabataş;admin;now
706;52;Altınordu;admin;now
707;53;Ardeşen;admin;now
708;53;Çamlıhemşin;admin;now
709;53;Çayeli;admin;now
710;53;Fındıklı;admin;now
711;53;İkizdere;admin;now
712;53;Kalkandere;admin;now
713;53;Pazar / Rize;admin;now
714;53;Rize Merkez;admin;now
715;53;Güneysu;admin;now
716;53;Derepazarı;admin;now
717;53;Hemşin;admin;now
718;53;İyidere;admin;now
719;54;Akyazı;admin;now
720;54;Geyve;admin;now
721;54;Hendek;admin;now
722;54;Karasu;admin;now
723;54;Kaynarca;admin;now
724;54;Sapanca;admin;now
725;54;Kocaali;admin;now
726;54;Pamukova;admin;now
727;54;Taraklı;admin;now
728;54;Ferizli;admin;now
729;54;Karapürçek;admin;now
730;54;Söğütlü;admin;now
731;54;Adapazarı;admin;now
732;54;Arifiye;admin;now
733;54;Erenler;admin;now
734;54;Serdivan;admin;now
735;55;Alaçam;admin;now
736;55;Bafra;admin;now
737;55;Çarşamba;admin;now
738;55;Havza;admin;now
739;55;Kavak;admin;now
740;55;Ladik;admin;now
741;55;Terme;admin;now
742;55;Vezirköprü;admin;now
743;55;Asarcık;admin;now
744;55;43604;admin;now
745;55;Salıpazarı;admin;now
746;55;Tekkeköy;admin;now
747;55;Ayvacık / Samsun;admin;now
748;55;Yakakent;admin;now
749;55;Atakum;admin;now
750;55;Canik;admin;now
751;55;İlkadım;admin;now
752;56;Baykan;admin;now
753;56;Eruh;admin;now
754;56;Kurtalan;admin;now
755;56;Pervari;admin;now
756;56;Siirt Merkez;admin;now
757;56;Şirvan;admin;now
758;56;Tillo;admin;now
759;57;Ayancık;admin;now
760;57;Boyabat;admin;now
761;57;Durağan;admin;now
762;57;Erfelek;admin;now
763;57;Gerze;admin;now
764;57;Sinop Merkez;admin;now
765;57;Türkeli;admin;now
766;57;Dikmen;admin;now
767;57;Saraydüzü;admin;now
768;58;Divriği;admin;now
769;58;Gemerek;admin;now
770;58;Gürün;admin;now
771;58;Hafik;admin;now
772;58;İmranlı;admin;now
773;58;Kangal;admin;now
774;58;Koyulhisar;admin;now
775;58;Sivas Merkez;admin;now
776;58;Suşehri;admin;now
777;58;Şarkışla;admin;now
778;58;Yıldızeli;admin;now
779;58;Zara;admin;now
780;58;Akıncılar;admin;now
781;58;Altınyayla / Sivas;admin;now
782;58;Doğanşar;admin;now
783;58;Gölova;admin;now
784;58;Ulaş;admin;now
785;59;Çerkezköy;admin;now
786;59;Çorlu;admin;now
787;59;Hayrabolu;admin;now
788;59;Malkara;admin;now
789;59;Muratlı;admin;now
790;59;Saray / Tekirdağ;admin;now
791;59;Şarköy;admin;now
792;59;Marmaraereğlisi;admin;now
793;59;Ergene;admin;now
794;59;Kapaklı;admin;now
795;59;Süleymanpaşa;admin;now
796;60;Almus;admin;now
797;60;Artova;admin;now
798;60;Erbaa;admin;now
799;60;Niksar;admin;now
800;60;Reşadiye;admin;now
801;60;Tokat Merkez;admin;now
802;60;Turhal;admin;now
803;60;Zile;admin;now
804;60;Pazar / Tokat;admin;now
805;60;Yeşilyurt / Tokat;admin;now
806;60;Başçiftlik;admin;now
807;60;Sulusaray;admin;now
808;61;Akçaabat;admin;now
809;61;Araklı;admin;now
810;61;Arsin;admin;now
811;61;Çaykara;admin;now
812;61;Maçka;admin;now
813;61;Of;admin;now
814;61;Sürmene;admin;now
815;61;Tonya;admin;now
816;61;Vakfıkebir;admin;now
817;61;Yomra;admin;now
818;61;Beşikdüzü;admin;now
819;61;Şalpazarı;admin;now
820;61;Çarşıbaşı;admin;now
821;61;Dernekpazarı;admin;now
822;61;Düzköy;admin;now
823;61;Hayrat;admin;now
824;61;Köprübaşı / Trabzon;admin;now
825;61;Ortahisar;admin;now
826;62;Çemişgezek;admin;now
827;62;Hozat;admin;now
828;62;Mazgirt;admin;now
829;62;Nazımiye;admin;now
830;62;Ovacık / Tunceli;admin;now
831;62;Pertek;admin;now
832;62;Pülümür;admin;now
833;62;Tunceli Merkez;admin;now
834;63;Akçakale;admin;now
835;63;Birecik;admin;now
836;63;Bozova;admin;now
837;63;Ceylanpınar;admin;now
838;63;Halfeti;admin;now
839;63;Hilvan;admin;now
840;63;Siverek;admin;now
841;63;Suruç;admin;now
842;63;Viranşehir;admin;now
843;63;Harran;admin;now
844;63;Eyyübiye;admin;now
845;63;Haliliye;admin;now
846;63;Karaköprü;admin;now
847;64;Banaz;admin;now
848;64;Eşme;admin;now
849;64;Karahallı;admin;now
850;64;Sivaslı;admin;now
851;64;Ulubey / Uşak;admin;now
852;64;Uşak Merkez;admin;now
853;65;Başkale;admin;now
854;65;Çatak;admin;now
855;65;Erciş;admin;now
856;65;Gevaş;admin;now
857;65;Gürpınar;admin;now
858;65;Muradiye;admin;now
859;65;Özalp;admin;now
860;65;Bahçesaray;admin;now
861;65;Çaldıran;admin;now
862;65;Edremit / Van;admin;now
863;65;Saray / Van;admin;now
864;65;İpekyolu;admin;now
865;65;Tuşba;admin;now
866;66;Akdağmadeni;admin;now
867;66;Boğazlıyan;admin;now
868;66;Çayıralan;admin;now
869;66;Çekerek;admin;now
870;66;Sarıkaya;admin;now
871;66;Sorgun;admin;now
872;66;Şefaatli;admin;now
873;66;Yerköy;admin;now
874;66;Yozgat Merkez;admin;now
875;66;Aydıncık / Yozgat;admin;now
876;66;Çandır;admin;now
877;66;Kadışehri;admin;now
878;66;Saraykent;admin;now
879;66;Yenifakılı;admin;now
880;67;Çaycuma;admin;now
881;67;Devrek;admin;now
882;67;Ereğli / Zonguldak;admin;now
883;67;Zonguldak Merkez;admin;now
884;67;Alaplı;admin;now
885;67;Gökçebey;admin;now
886;67;Kilimli;admin;now
887;67;Kozlu;admin;now
888;68;Aksaray Merkez;admin;now
889;68;Ortaköy / Aksaray;admin;now
